category,age,delta_to_next,cumulative_z,is_extrapolated,n,fit_start_year,fit_end_year
TRB_per36,18,0.24249687078269413,-0.4564244533212323,True,,1958,2024
TRB_per36,19,0.18758293846643162,-0.2139275825385382,False,101.0,1958,2024
TRB_per36,20,0.009949382208856538,-0.026344644072106564,False,254.0,1958,2024
TRB_per36,21,0.01639526186325003,-0.01639526186325003,False,492.0,1958,2024
TRB_per36,22,-0.005655152152816594,0.0,False,1298.0,1958,2024
TRB_per36,23,-0.024560511808701647,-0.005655152152816594,False,1788.0,1958,2024
TRB_per36,24,-0.030985052814834407,-0.03021566396151824,False,1762.0,1958,2024
TRB_per36,25,-0.01709702775265994,-0.06120071677635265,False,1667.0,1958,2024
TRB_per36,26,-0.031297613331561745,-0.07829774452901259,False,1558.0,1958,2024
TRB_per36,27,-0.023522196844773302,-0.10959535786057434,False,1427.0,1958,2024
TRB_per36,28,-0.0311951754394428,-0.13311755470534764,False,1268.0,1958,2024
TRB_per36,29,-0.001963307695311243,-0.16431273014479045,False,1138.0,1958,2024
TRB_per36,30,-0.057662633460460945,-0.1662760378401017,False,984.0,1958,2024
TRB_per36,31,-0.008075211621972238,-0.22393867130056264,False,808.0,1958,2024
TRB_per36,32,-0.04296286300539452,-0.2320138829225349,False,623.0,1958,2024
TRB_per36,33,-0.06593440687871831,-0.2749767459279294,False,455.0,1958,2024
TRB_per36,34,-0.020707596898811815,-0.34091115280664774,False,319.0,1958,2024
TRB_per36,35,-0.022668388627535334,-0.36161874970545954,False,205.0,1958,2024
TRB_per36,36,-0.04140474901361443,-0.3842871383329949,False,134.0,1958,2024
TRB_per36,37,0.015546652151928535,-0.4256918873466093,False,82.0,1958,2024
TRB_per36,38,-0.1045678747611178,-0.41014523519468077,False,46.0,1958,2024
TRB_per36,39,-0.030432726711987525,-0.5147131099557986,True,,1958,2024
TRB_per36,40,-0.021302908698391267,-0.545145836667786,True,,1958,2024
TRB_per36,41,-0.014912036088873886,-0.5664487453661773,True,,1958,2024
TRB_per36,42,-0.010438425262211719,-0.5813607814550512,True,,1958,2024
TRB_per36,43,-0.007306897683548203,-0.5917992067172629,True,,1958,2024
TRB_per36,44,-0.005114828378483742,-0.5991061044008111,True,,1958,2024
TRB_per36,45,-0.003580379864938619,-0.6042209327792949,True,,1958,2024
PF_per36,18,-0.1575507315278699,0.7633193692544697,True,,1958,2024
PF_per36,19,-0.18601644204362783,0.6057686377265998,False,101.0,1958,2024
PF_per36,20,-0.18936360592501417,0.41975219568297206,False,254.0,1958,2024
PF_per36,21,-0.23038858975795787,0.23038858975795787,False,492.0,1958,2024
PF_per36,22,-0.1652038751080442,0.0,False,1298.0,1958,2024
PF_per36,23,-0.08248121048883643,-0.1652038751080442,False,1788.0,1958,2024
PF_per36,24,-0.13553663061285892,-0.24768508559688063,False,1762.0,1958,2024
PF_per36,25,0.02803829628641254,-0.38322171620973955,False,1667.0,1958,2024
PF_per36,26,0.01831000456546066,-0.355183419923327,False,1558.0,1958,2024
PF_per36,27,0.050315787823490735,-0.33687341535786636,False,1427.0,1958,2024
PF_per36,28,0.1054275308644235,-0.28655762753437564,False,1268.0,1958,2024
PF_per36,29,0.13131292611644033,-0.18113009666995214,False,1138.0,1958,2024
PF_per36,30,0.11092777444472375,-0.049817170553511814,False,984.0,1958,2024
PF_per36,31,0.09246281152275532,0.06111060389121194,False,808.0,1958,2024
PF_per36,32,0.12974282841777202,0.15357341541396724,False,623.0,1958,2024
PF_per36,33,0.22011652491243003,0.28331624383173926,False,455.0,1958,2024
PF_per36,34,0.2522436738386772,0.5034327687441693,False,319.0,1958,2024
PF_per36,35,0.12761291799558064,0.7556764425828465,False,205.0,1958,2024
PF_per36,36,0.05570771970710472,0.8832893605784271,False,134.0,1958,2024
PF_per36,37,0.36608086646943927,0.9389970802855319,False,82.0,1958,2024
PF_per36,38,0.6231176082806842,1.3050779467549711,False,46.0,1958,2024
PF_per36,39,0.24381144537335322,1.9281955550356553,True,,1958,2024
PF_per36,40,0.17066801176134724,2.1720070004090086,True,,1958,2024
PF_per36,41,0.11946760823294306,2.3426750121703557,True,,1958,2024
PF_per36,42,0.08362732576306013,2.4621426204032986,True,,1958,2024
PF_per36,43,0.05853912803414209,2.5457699461663585,True,,1958,2024
PF_per36,44,0.040977389623899456,2.6043090742005006,True,,1958,2024
PF_per36,45,0.028684172736729616,2.6452864638244002,True,,1958,2024
AST_per36,18,0.0976347033047171,-0.3729698293446003,True,,1963,2024
AST_per36,19,0.1084996796251265,-0.2753351260398832,False,101.0,1963,2024
AST_per36,20,0.06419209474771972,-0.16683544641475673,False,254.0,1963,2024
AST_per36,21,0.10264335166703702,-0.10264335166703702,False,489.0,1963,2024
AST_per36,22,0.05429568027786544,0.0,False,1265.0,1963,2024
AST_per36,23,0.046300867773981354,0.05429568027786544,False,1741.0,1963,2024
AST_per36,24,0.032395736298738355,0.10059654805184678,False,1718.0,1963,2024
AST_per36,25,-0.003150326682372941,0.13299228435058513,False,1619.0,1963,2024
AST_per36,26,0.009826100276915078,0.1298419576682122,False,1518.0,1963,2024
AST_per36,27,-0.030116688078719617,0.13966805794512727,False,1391.0,1963,2024
AST_per36,28,-0.021904003249783408,0.10955136986640765,False,1238.0,1963,2024
AST_per36,29,-0.02187637285652384,0.08764736661662424,False,1109.0,1963,2024
AST_per36,30,-0.009392165031527688,0.0657709937601004,False,964.0,1963,2024
AST_per36,31,-0.02269766550609701,0.05637882872857271,False,795.0,1963,2024
AST_per36,32,-0.03718307931792598,0.0336811632224757,False,614.0,1963,2024
AST_per36,33,-0.08873971526259955,-0.0035019160954502804,False,449.0,1963,2024
AST_per36,34,-0.03175097114316354,-0.09224163135804983,False,319.0,1963,2024
AST_per36,35,-0.020045628756797558,-0.12399260250121337,False,205.0,1963,2024
AST_per36,36,-0.09185313259416356,-0.14403823125801093,False,134.0,1963,2024
AST_per36,37,-0.07286461902877679,-0.2358913638521745,False,82.0,1963,2024
