category,start_year,end_year,divergence,n_matched_ages
PTS_per36,1955,1969,0.19329626298021962,11
PTS_per36,1956,1970,0.17118390748519735,11
PTS_per36,1957,1971,0.22712461586595054,12
PTS_per36,1958,1972,0.20027127892114058,12
PTS_per36,1959,1973,0.16893600446723123,12
PTS_per36,1960,1974,0.14828908525664067,12
PTS_per36,1961,1975,0.1309854423650809,12
PTS_per36,1962,1976,0.10524407410244575,12
PTS_per36,1963,1977,0.12159341939438004,13
PTS_per36,1964,1978,0.1156418824661975,13
PTS_per36,1965,1979,0.10038684465443552,13
PTS_per36,1966,1980,0.07192619752064168,14
PTS_per36,1967,1981,0.0868800303893656,14
PTS_per36,1968,1982,0.11689813962389746,14
PTS_per36,1969,1983,0.11464386213284207,14
PTS_per36,1970,1984,0.09463357750752634,14
PTS_per36,1971,1985,0.09487751495180506,14
PTS_per36,1972,1986,0.10486890522748153,14
PTS_per36,1973,1987,0.13741729260706495,14
PTS_per36,1974,1988,0.10743150622990304,14
PTS_per36,1975,1989,0.10376634216754531,14
PTS_per36,1976,1990,0.09313327140056656,14
PTS_per36,1977,1991,0.058719721612427805,14
PTS_per36,1978,1992,0.07954077533484401,15
PTS_per36,1979,1993,0.07254804470926404,15
PTS_per36,1980,1994,0.0637586067634132,15
PTS_per36,1981,1995,0.062146515945426806,15
PTS_per36,1982,1996,0.07091558763268982,15
PTS_per36,1983,1997,0.08337487742429732,16
PTS_per36,1984,1998,0.09254013926551936,16
PTS_per36,1985,1999,0.07797574284565474,16
PTS_per36,1986,2000,0.17338964372166146,18
PTS_per36,1987,2001,0.13216280480679798,18
PTS_per36,1988,2002,0.10289139037098234,18
PTS_per36,1989,2003,0.11851215200378087,19
PTS_per36,1990,2004,0.19902807301577002,20
TRB_per36,1955,1969,0.06751821892944938,11
TRB_per36,1956,1970,0.04896846064210209,11
TRB_per36,1957,1971,0.038572596005439594,12
TRB_per36,1958,1972,0.03364653329417799,12
TRB_per36,1959,1973,0.026981962537915218,12
TRB_per36,1960,1974,0.026884657704815355,12
TRB_per36,1961,1975,0.027134636785287634,12
TRB_per36,1962,1976,0.036336526919231386,12
TRB_per36,1963,1977,0.1473149836350429,13
TRB_per36,1964,1978,0.0913019924855918,13
TRB_per36,1965,1979,0.0835884606856056,13
TRB_per36,1966,1980,0.1031105878339083,14
TRB_per36,1967,1981,0.10024764811170678,14
TRB_per36,1968,1982,0.10558881308854343,14
TRB_per36,1969,1983,0.0804481191728713,14
TRB_per36,1970,1984,0.09302835546571889,14
TRB_per36,1971,1985,0.08501460198585335,14
TRB_per36,1972,1986,0.0774768551210404,14
TRB_per36,1973,1987,0.09540180583952626,14
TRB_per36,1974,1988,0.075252154516865,14
TRB_per36,1975,1989,0.06547815216542083,14
TRB_per36,1976,1990,0.06549583330288927,14
TRB_per36,1977,1991,0.06475605341736085,14
TRB_per36,1978,1992,0.07379768307699662,15
TRB_per36,1979,1993,0.0612814227747192,15
TRB_per36,1980,1994,0.0573267437750563,15
TRB_per36,1981,1995,0.04701426493143493,15
TRB_per36,1982,1996,0.037521437575031895,15
TRB_per36,1983,1997,0.05249242859265997,16
TRB_per36,1984,1998,0.040122898192836556,16
TRB_per36,1985,1999,0.0512979668252167,16
TRB_per36,1986,2000,0.2110776425731821,18
TRB_per36,1987,2001,0.13456648008862704,18
TRB_per36,1988,2002,0.11233468853076709,18
TRB_per36,1989,2003,0.09601939927628146,19
TRB_per36,1990,2004,0.08343829962296595,20
AST_per36,1955,1969,0.0625046116609929,11
AST_per36,1956,1970,0.05424577441540174,11
AST_per36,1957,1971,0.052119599167919625,12
AST_per36,1958,1972,0.05110496222840859,12
AST_per36,1959,1973,0.049143649434002394,12
AST_per36,1960,1974,0.05280658783962125,12
AST_per36,1961,1975,0.05149052307433482,12
AST_per36,1962,1976,0.038087817124402804,12
AST_per36,1963,1977,0.03053883878543002,13
AST_per36,1964,1978,0.025777587301284217,13
AST_per36,1965,1979,0.023963181181339045,13
AST_per36,1966,1980,0.11892330657477211,14
AST_per36,1967,1981,0.12088537114769266,14
AST_per36,1968,1982,0.1222967762809419,14
AST_per36,1969,1983,0.1299169083625571,14
