category,age_from,age_to,n,weighted_mean_delta
AST_per36,18,19.0,13.0,0.1292579154540072
AST_per36,19,20.0,102.0,0.13768191179349945
AST_per36,20,21.0,259.0,0.10322600493999859
AST_per36,21,22.0,502.0,0.10837134941530138
AST_per36,22,23.0,1359.0,0.07268340927531587
AST_per36,23,24.0,1857.0,0.06941574433397824
AST_per36,24,25.0,1831.0,0.03344226258104005
AST_per36,25,26.0,1742.0,0.004812828115696918
AST_per36,26,27.0,1633.0,0.013227023088701075
AST_per36,27,28.0,1491.0,-0.0063637973005836995
AST_per36,28,29.0,1327.0,-0.015644880577505967
AST_per36,29,30.0,1190.0,-0.025223029835379728
AST_per36,30,31.0,1018.0,-0.017767655019219532
AST_per36,31,32.0,837.0,-0.01647764055054837
AST_per36,32,33.0,642.0,-0.038216928402325004
AST_per36,33,34.0,467.0,-0.07877344534764322
AST_per36,34,35.0,329.0,-0.02814624918924398
AST_per36,35,36.0,208.0,-0.03577445526548307
AST_per36,36,37.0,134.0,-0.1092668074964475
AST_per36,37,38.0,82.0,-0.07265267949014957
AST_per36,38,39.0,46.0,-0.11010777200299418
AST_per36,39,40.0,19.0,0.0003484030879368324
AST_per36,40,41.0,6.0,-0.10496191804162248
AST_per36,41,42.0,5.0,-0.1228639663584389
AST_per36,42,43.0,2.0,0.10277350814334212
BLK_per36,18,19.0,13.0,0.10724793038580728
BLK_per36,19,20.0,102.0,-0.009604553234808274
BLK_per36,20,21.0,259.0,-0.07183947202744494
BLK_per36,21,22.0,484.0,-0.042911305121125884
BLK_per36,22,23.0,1141.0,-0.013295480357925557
BLK_per36,23,24.0,1575.0,-0.025776960984301683
BLK_per36,24,25.0,1553.0,-0.044952126480282094
BLK_per36,25,26.0,1480.0,-0.051917192630678094
BLK_per36,26,27.0,1396.0,-0.04401901146269127
BLK_per36,27,28.0,1287.0,-0.03731913125554566
BLK_per36,28,29.0,1152.0,-0.040792622065681496
BLK_per36,29,30.0,1046.0,-0.026852449982641996
BLK_per36,30,31.0,903.0,-0.036486419707174284
BLK_per36,31,32.0,750.0,-0.04160338463493071
BLK_per36,32,33.0,582.0,-0.009523104801053681
BLK_per36,33,34.0,432.0,-0.017953722763389784
BLK_per36,34,35.0,313.0,0.0023790668673216255
BLK_per36,35,36.0,201.0,-0.049322358840147046
BLK_per36,36,37.0,130.0,-0.004681237856887538
BLK_per36,37,38.0,81.0,-0.08178927222648712
BLK_per36,38,39.0,45.0,-0.11562147792004702
BLK_per36,39,40.0,19.0,0.018559424952548604
BLK_per36,40,41.0,6.0,0.06950815625310977
BLK_per36,41,42.0,5.0,0.5252394423614337
BLK_per36,42,43.0,2.0,0.25923125774581424
PF_per36,18,19.0,13.0,-0.16978447911578504
PF_per36,19,20.0,102.0,-0.20592539949785574
PF_per36,20,21.0,259.0,-0.2067650839470988
PF_per36,21,22.0,502.0,-0.19815613254321104
PF_per36,22,23.0,1359.0,-0.2140600036883752
PF_per36,23,24.0,1857.0,-0.1307679667375907
PF_per36,24,25.0,1831.0,-0.08384116157926369
PF_per36,25,26.0,1742.0,-0.015530159234302794
PF_per36,26,27.0,1633.0,0.02720051160809524
PF_per36,27,28.0,1491.0,0.0123787557699328
PF_per36,28,29.0,1327.0,0.04904887031022495
PF_per36,29,30.0,1190.0,0.08529125269198093
PF_per36,30,31.0,1018.0,0.08951619667039981
PF_per36,31,32.0,837.0,0.10574272096970362
PF_per36,32,33.0,642.0,0.11937680298655688
PF_per36,33,34.0,467.0,0.1492361270207161
PF_per36,34,35.0,329.0,0.17020419170873002
