draft_year,Rk,Pk,Tm,Player,College,Yrs,G,MP_total,PTS_total,TRB_total,AST_total,FG_pct,3P_pct,FT_pct,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per48,BPM,VORP
1950,1.0,3.0,PHW,Paul Arizin,Villanova,10.0,713.0,24897.0,16266.0,6129.0,1665.0,0.421,,0.81,38.4,22.8,8.6,2.3,108.8,0.183,,
1950,2.0,1.0,BOS,Chuck Share,Bowling Green,9.0,596.0,13023.0,4928.0,4986.0,809.0,0.4,,0.693,21.9,8.3,8.4,1.4,42.0,0.155,,
1950,3.0,2.0,BLB,Don Rehfeldt,Wisconsin,2.0,98.0,788.0,692.0,494.0,118.0,0.37,,0.758,20.2,7.1,5.0,1.2,3.5,0.048,,
1950,4.0,4.0,TRI,Bob Cousy,Holy Cross,14.0,924.0,30165.0,16960.0,4786.0,6955.0,0.375,,0.803,35.3,18.4,5.2,7.5,91.1,0.139,,
1950,5.0,5.0,WSC,Dick Schnittker,Ohio State,6.0,364.0,6744.0,3030.0,1372.0,479.0,0.379,,0.825,20.1,8.3,3.8,1.3,22.0,0.132,,
1950,6.0,6.0,CHS,Larry Foust,La Salle,12.0,817.0,21890.0,11198.0,8041.0,1368.0,0.405,,0.741,29.2,13.7,9.8,1.7,79.2,0.164,,
1950,7.0,7.0,NYK,Irwin Dambrot,City College of New York,,,,,,,,,,,,,,,,,
1950,8.0,8.0,FTW,George Yardley,Stanford,7.0,472.0,15767.0,9063.0,4220.0,815.0,0.422,,0.78,33.4,19.2,8.9,1.7,58.5,0.178,,
1950,9.0,9.0,INO,Bob Lavoy,Western Kentucky,4.0,264.0,5433.0,2156.0,1634.0,391.0,0.384,,0.707,27.0,8.2,6.2,1.5,15.9,0.132,,
1950,10.0,10.0,ROC,Joe McNamee,San Francisco,2.0,118.0,695.0,289.0,238.0,58.0,0.298,,0.62,12.0,2.4,2.0,0.5,-1.3,-0.055,,
1950,11.0,11.0,MNL,Kevin O'Shea,Notre Dame,3.0,174.0,2368.0,911.0,402.0,358.0,0.337,,0.68,21.3,5.2,2.3,2.1,3.8,0.034,,
1950,12.0,12.0,SYR,Don Lofgran,San Francisco,4.0,209.0,3422.0,1265.0,817.0,216.0,0.329,,0.692,23.1,6.1,3.9,1.0,3.0,0.044,,
1950,13.0,13.0,BOS,Chuck Cooper,Duquesne,6.0,409.0,7964.0,2725.0,2431.0,734.0,0.339,,0.743,23.2,6.7,5.9,1.8,11.6,0.05,,
1950,14.0,14.0,BLB,John Pilch,Wyoming,1.0,9.0,41.0,5.0,9.0,2.0,0.1,,0.5,4.6,0.6,1.0,0.2,-0.1,-0.118,,
1950,15.0,15.0,PHW,Ed Dahler,Duquesne,1.0,14.0,112.0,35.0,22.0,5.0,0.368,,1.0,8.0,2.5,1.6,0.4,0.1,0.036,,
1950,16.0,16.0,TRI,Ed Gayda,Washington State,1.0,15.0,,56.0,39.0,13.0,0.413,,0.75,,3.7,2.6,0.9,0.6,,,
1950,17.0,17.0,WSC,Bill Sharman,USC,11.0,711.0,21793.0,12665.0,2793.0,2101.0,0.426,,0.883,32.0,17.8,3.9,3.0,82.8,0.178,,
1950,18.0,18.0,CHS,Wally Osterkorn,Illinois,4.0,204.0,5187.0,1436.0,1218.0,346.0,0.334,,0.592,25.4,7.0,6.0,1.7,8.9,0.082,,
1950,19.0,19.0,NYK,Herb Scherer,Long Island University,2.0,32.0,167.0,115.0,76.0,23.0,0.289,,0.592,13.9,3.6,2.4,0.7,-0.4,-0.092,,
1950,20.0,20.0,FTW,Jim Riffey,Tulane,1.0,35.0,,150.0,61.0,16.0,0.351,,0.769,,4.3,1.7,0.5,0.2,,,
1950,21.0,21.0,INO,Paul Unruh,Bradley,,,,,,,,,,,,,,,,,
1950,22.0,22.0,ROC,George Stanich,UCLA,,,,,,,,,,,,,,,,,
1950,23.0,23.0,MNL,Hal Haskins,Hamline University,,,,,,,,,,,,,,,,,
1950,24.0,24.0,SYR,Gerry Calabrese,St. John's,2.0,104.0,937.0,492.0,149.0,148.0,0.348,,0.702,16.2,4.7,1.4,1.4,1.9,0.046,,
1950,25.0,25.0,BOS,Bob Donham,Ohio State,4.0,273.0,4866.0,1818.0,1071.0,706.0,0.48,,0.507,23.7,6.7,3.9,2.6,18.0,0.132,,
1950,26.0,26.0,BLB,Dick Dickey,NC State,1.0,45.0,440.0,127.0,81.0,50.0,0.294,,0.681,9.8,2.8,1.8,1.1,0.3,0.028,,
1950,27.0,27.0,PHW,Buddy Cate,Western Kentucky,,,,,,,,,,,,,,,,,
1950,28.0,28.0,TRI,Clarence Brannum,Kansas State,,,,,,,,,,,,,,,,,
1950,29.0,29.0,WSC,Alan Sawyer,UCLA,1.0,33.0,,217.0,121.0,25.0,0.37,,0.86,,6.6,3.7,0.8,0.9,,,
1950,30.0,30.0,CHS,Lou Watson,Indiana,,,,,,,,,,,,,,,,,
1950,31.0,31.0,NYK,Stan Weber,Bowling Green,,,,,,,,,,,,,,,,,
1950,32.0,32.0,FTW,Art Burris,Tennessee,2.0,74.0,514.0,187.0,205.0,54.0,0.26,,0.627,12.5,2.5,2.8,0.7,-1.0,-0.073,,
1950,33.0,33.0,INO,Chuck Mrazovich,Eastern Kentucky University,1.0,25.0,,85.0,40.0,13.0,0.35,,0.604,,3.4,1.6,0.5,0.4,,,
1950,34.0,34.0,ROC,Bob Roper,John Carroll University,,,,,,,,,,,,,,,,,
1950,35.0,35.0,MNL,Howie Williams,Purdue,,,,,,,,,,,,,,,,,
1950,36.0,36.0,SYR,Stan Christie,USC,,,,,,,,,,,,,,,,,
1950,37.0,37.0,BOS,Ken Reeves,Louisville,,,,,,,,,,,,,,,,,
1950,38.0,38.0,BLB,Jerry Reed,Wyoming,,,,,,,,,,,,,,,,,
1950,39.0,39.0,PHW,Paul Senesky,Saint Joseph's,,,,,,,,,,,,,,,,,
1950,40.0,40.0,TRI,Paul Hicks,Eastern Kentucky University,,,,,,,,,,,,,,,,,
1950,41.0,41.0,WSC,Tommy O'Keefe,Georgetown,1.0,6.0,,23.0,7.0,10.0,0.357,,0.75,,3.8,1.2,1.7,0.1,,,
1950,42.0,42.0,CHS,Ken Murray,St. Bonaventure,3.0,181.0,2118.0,1471.0,599.0,482.0,0.335,,0.747,18.4,8.1,3.3,2.7,3.6,0.0,,
