draft_year,Rk,Pk,Tm,Player,College,Yrs,G,MP_total,PTS_total,TRB_total,AST_total,FG_pct,3P_pct,FT_pct,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per48,BPM,VORP,player_id,rookie_season,rookie_age,Age,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS_per36,TRB_per36,ORB_per36,DRB_per36,AST_per36,STL_per36,BLK_per36,TOV_per36,PF_per36,FG_per36,FGA_per36,3P_per36,3PA_per36,FT_per36,FTA_per36,TS_pct,PTS_per36_league_mean,PTS_per36_league_std,PTS_per36_z,PTS_per36_ratio,TRB_per36_league_mean,TRB_per36_league_std,TRB_per36_z,TRB_per36_ratio,AST_per36_league_mean,AST_per36_league_std,AST_per36_z,AST_per36_ratio,STL_per36_league_mean,STL_per36_league_std,STL_per36_z,STL_per36_ratio,BLK_per36_league_mean,BLK_per36_league_std,BLK_per36_z,BLK_per36_ratio,TOV_per36_league_mean,TOV_per36_league_std,TOV_per36_z,TOV_per36_ratio,PF_per36_league_mean,PF_per36_league_std,PF_per36_z,PF_per36_ratio,TS_pct_league_mean,TS_pct_league_std,TS_pct_z,TS_pct_ratio
1950,1.0,3.0,PHW,Paul Arizin,Villanova,10.0,65.0,24897.0,16266.0,6129.0,1665.0,0.421,,0.81,38.4,22.8,8.6,2.3,108.8,0.183,,,arizipa51,1951.0,22.0,22.0,2939.0,352.0,864.0,,,417.0,526.0,,,640.0,138.0,,,,284.0,1121.0,20.50493365090167,9.125552909152772,,,2.0823409322898945,,,,3.062266076896904,6.712487240558013,14.968356583872064,,,7.079959169785641,8.660088465464444,0.5116665449499744,12.414397542979138,3.1267596765416115,2.587514534174613,1.6517058987286957,7.156897262069741,2.9513162153149377,0.6670432794924875,1.2750711062343385,3.24911045357504,1.1491084993852176,-1.0153693249239537,0.6408957042376526,,,,,,,,,,,,,3.988463987415259,1.1334820598483784,-0.8171262195735587,0.7677808014712496,0.4383228975937374,0.0507908058274427,2.119219569735622,1.2455652448527177
1950,2.0,1.0,BOS,Chuck Share,Bowling Green,9.0,63.0,13023.0,4928.0,4986.0,809.0,0.4,,0.693,21.9,8.3,8.4,1.4,42.0,0.155,,,sharech52,1952.0,24.0,24.0,882.0,76.0,236.0,,,96.0,155.0,,,331.0,66.0,,,,141.0,248.0,10.122448979591836,13.510204081632653,,,2.693877551020408,,,,5.755102040816327,3.1020408163265305,9.63265306122449,,,3.918367346938776,6.326530612244898,0.4076265614727153,12.414397542979138,3.1267596765416115,-0.7330107844816321,0.8153797995067836,7.156897262069741,2.9513162153149377,2.1527028471549072,1.887718041340944,3.24911045357504,1.1491084993852176,-0.4831857939016952,0.8291123338254931,,,,,,,,,,,,,3.988463987415259,1.1334820598483784,1.5585937492803237,1.4429369448928997,0.4383228975937374,0.0507908058274427,-0.6043679681970423,0.9299686685556792
1950,3.0,2.0,BLB,Don Rehfeldt,Wisconsin,2.0,59.0,788.0,692.0,494.0,118.0,0.37,,0.758,20.2,7.1,5.0,1.2,3.5,0.048,,,rehfedo51,1951.0,24.0,24.0,788.0,164.0,426.0,,,103.0,139.0,,,251.0,68.0,,,,146.0,431.0,11.923857868020306,11.101522842639596,,,2.284263959390863,,,,4.659898477157361,4.522842639593908,13.02030456852792,,,2.8781725888324874,3.654822335025381,0.4423597996551441,12.414397542979138,3.1267596765416115,-0.156884354956694,0.9604862279252324,7.156897262069741,2.9513162153149377,1.336564872344226,1.551164203722143,3.24911045357504,1.1491084993852176,-0.839647861538208,0.7030428765133104,,,,,,,,,,,,,3.988463987415259,1.1334820598483784,0.5923644612707121,1.1683441274286714,0.4383228975937374,0.0507908058274427,-0.6057222503715085,0.929811740675944
1950,4.0,4.0,TRI,Bob Cousy,Holy Cross,14.0,69.0,30165.0,16960.0,4786.0,6955.0,0.375,,0.803,35.3,18.4,5.2,7.5,91.1,0.139,,,cousybo51,1951.0,22.0,22.0,2681.0,401.0,1138.0,,,276.0,365.0,,,474.0,341.0,,,,185.0,1078.0,19.242073853039912,5.653114509511377,,,5.921671018276762,,,,2.551286833271168,6.875046624393884,18.637821708317794,,,5.491980604252145,6.794479671764267,0.4150623748652395,12.414397542979138,3.1267596765416115,2.183626826610673,1.5499804792317216,7.156897262069741,2.9513162153149377,-0.5095295260992202,0.7898834232918026,3.24911045357504,1.1491084993852176,2.325768686013169,1.8225514653591008,,,,,,,,,,,,,3.988463987415259,1.1334820598483784,-1.2679310992679829,0.6396665085409332,0.4383228975937374,0.0507908058274427,0.1285926013690624,1.014900708776194
1950,5.0,5.0,WSC,Dick Schnittker,Ohio State,6.0,29.0,6744.0,3030.0,1372.0,479.0,0.379,,0.825,20.1,8.3,3.8,1.3,22.0,0.132,,,schnidi51,1951.0,22.0,22.0,1040.0,86.0,209.0,,,123.0,142.0,,,153.0,41.0,,,,82.0,295.0,11.423076923076923,6.161538461538462,,,2.042307692307692,,,,6.161538461538462,4.223076923076923,10.626923076923076,,,2.976923076923077,4.569230769230769,0.5433181081479298,11.904375108270935,3.126984680947815,-0.1539176664748252,0.9595696388246692,7.037437684060594,3.225746795254231,-0.2715337805840088,0.875537196655255,3.0447519873732025,1.1819112519702963,-0.8481553021805935,0.6707632348307132,,,,,,,,,,,,,3.795661463245626,1.0932284872182614,2.164119418725404,1.623310856672081,0.4390537933778117,0.0491132426888932,0.2626978314804142,1.029385789499924
1950,6.0,6.0,CHS,Larry Foust,La Salle,12.0,68.0,21890.0,11198.0,8041.0,1368.0,0.405,,0.741,29.2,13.7,9.8,1.7,79.2,0.164,,,foustla51,1951.0,22.0,22.0,2615.0,327.0,944.0,,,261.0,396.0,,,681.0,90.0,,,,247.0,915.0,14.413766730401528,12.11472275334608,,,2.7533460803059278,,,,3.372848948374761,5.369024856596559,13.61529636711281,,,3.675717017208413,5.424091778202677,0.4091250536557447,12.414397542979138,3.1267596765416115,0.6394380746376439,1.1610524538545262,7.156897262069741,2.9513162153149377,1.6798692954517196,1.6927339194251003,3.24911045357504,1.1491084993852176,-0.4314339103177383,0.8474153524932904,,,,,,,,,,,,,3.988463987415259,1.1334820598483784,-0.5431184672855311,0.8456510975195115,0.4383228975937374,0.0507908058274427,0.2373248816170564,1.0275000964959968
1950,8.0,8.0,FTW,George Yardley,Stanford,7.0,63.0,15767.0,9063.0,4220.0,815.0,0.422,,0.78,33.4,19.2,8.9,1.7,58.5,0.178,,,yardlge54,1954.0,25.0,25.0,1489.0,209.0,492.0,,,146.0,205.0,,,407.0,99.0,,,,166.0,564.0,13.635997313633313,9.840161182001344,,,2.393552719946273,,,,4.013431833445265,5.053055742108797,11.895231699126931,,,3.529885829415715,4.956346541302889,0.4843696324287186,11.904375108270935,3.126984680947815,0.5537674091954634,1.1454609914097276,7.037437684060594,3.225746795254231,0.8688603526055303,1.3982590857307005,3.0447519873732025,1.1819112519702963,-0.5509713748315305,0.7861240356759769,,,,,,,,,,,,,3.795661463245626,1.0932284872182614,0.1991993190314314,1.057373496637771,0.4390537933778117,0.0491132426888932,0.9226806573933448,1.1032124986377512
1950,9.0,9.0,INO,Bob Lavoy,Western Kentucky,4.0,63.0,5433.0,2156.0,1634.0,391.0,0.384,,0.707,27.0,8.2,6.2,1.5,15.9,0.132,,,lavoybo51,1951.0,24.0,24.0,1829.0,221.0,619.0,,,84.0,133.0,,,310.0,76.0,,,,190.0,526.0,12.754510661563696,9.428102788408967,,,2.1060688901038818,,,,4.133406232914161,4.723892837616184,11.888463641334065,,,3.3067249863313286,4.389283761618371,0.3881804227181485,12.414397542979138,3.1267596765416115,0.1087749471557545,1.027396667249222,7.156897262069741,2.9513162153149377,0.7695568216491041,1.3173449950687717,3.24911045357504,1.1491084993852176,-0.9947203106431594,0.648198613188587,,,,,,,,,,,,,3.988463987415259,1.1334820598483784,0.1278734358780146,1.0363403671077978,0.4383228975937374,0.0507908058274427,0.4555289404920489,1.052784561546581
1950,10.0,10.0,ROC,Joe McNamee,San Francisco,2.0,60.0,695.0,289.0,238.0,58.0,0.298,,0.62,12.0,2.4,2.0,0.5,-1.3,-0.055,,,mcnamjo51,1951.0,24.0,24.0,695.0,48.0,167.0,,,27.0,42.0,,,101.0,18.0,,,,88.0,123.0,8.598561151079137,7.096402877697842,,,2.071942446043165,,,,5.594244604316547,3.5223021582733813,11.499280575539569,,,1.5539568345323742,2.5899280575539567,0.331572137157645,12.414397542979138,3.1267596765416115,-1.2203804534541494,0.6926281457727269,7.156897262069741,2.9513162153149377,-0.0204974255411813,0.991547400758076,3.24911045357504,1.1491084993852176,-1.0244185019618852,0.6376952940345193,,,,,,,,,,,,,3.988463987415259,1.1334820598483784,1.4166793404000473,1.4026062719803871,0.4383228975937374,0.0507908058274427,-1.9326128335312152,0.7760578703362944
1950,11.0,11.0,MNL,Kevin O'Shea,Notre Dame,3.0,63.0,2368.0,911.0,402.0,358.0,0.337,,0.68,21.3,5.2,2.3,2.1,3.8,0.034,,,osheake51,1951.0,25.0,25.0,1725.0,87.0,267.0,,,97.0,134.0,,,125.0,100.0,,,,99.0,271.0,9.391304347826086,4.194782608695652,,,3.568695652173913,,,,3.6521739130434794,3.193043478260869,9.725217391304348,,,3.005217391304348,4.382608695652174,0.4156951773223709,12.414397542979138,3.1267596765416115,-0.9668453951973628,0.7564849051525068,7.156897262069741,2.9513162153149377,-1.0036588549892131,0.5861174829108194,3.24911045357504,1.1491084993852176,0.2781157730273978,1.098360829268586,,,,,,,,,,,,,3.988463987415259,1.1334820598483784,-0.2966876021105838,0.9156843147053924,0.4383228975937374,0.0507908058274427,-0.6966996145570444,0.9192697095285706
