draft_year,Rk,Pk,Tm,Player,College,Yrs,G,MP_total,PTS_total,TRB_total,AST_total,FG_pct,3P_pct,FT_pct,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per48,BPM,VORP,reason
1950,7.0,7.0,NYK,Irwin Dambrot,City College of New York,,,,,,,,,,,,,,,,,,no career
1950,21.0,21.0,INO,Paul Unruh,Bradley,,,,,,,,,,,,,,,,,,no career
1950,22.0,22.0,ROC,George Stanich,UCLA,,,,,,,,,,,,,,,,,,no career
1950,23.0,23.0,MNL,Hal Haskins,Hamline University,,,,,,,,,,,,,,,,,,no career
1950,27.0,27.0,PHW,Buddy Cate,Western Kentucky,,,,,,,,,,,,,,,,,,no career
1950,28.0,28.0,TRI,Clarence Brannum,Kansas State,,,,,,,,,,,,,,,,,,no career
1950,30.0,30.0,CHS,Lou Watson,Indiana,,,,,,,,,,,,,,,,,,no career
1950,31.0,31.0,NYK,Stan Weber,Bowling Green,,,,,,,,,,,,,,,,,,no career
1950,34.0,34.0,ROC,Bob Roper,John Carroll University,,,,,,,,,,,,,,,,,,no career
1950,35.0,35.0,MNL,Howie Williams,Purdue,,,,,,,,,,,,,,,,,,no career
1950,36.0,36.0,SYR,Stan Christie,USC,,,,,,,,,,,,,,,,,,no career
1950,37.0,37.0,BOS,Ken Reeves,Louisville,,,,,,,,,,,,,,,,,,no career
1950,38.0,38.0,BLB,Jerry Reed,Wyoming,,,,,,,,,,,,,,,,,,no career
1950,39.0,39.0,PHW,Paul Senesky,Saint Joseph's,,,,,,,,,,,,,,,,,,no career
1950,40.0,40.0,TRI,Paul Hicks,Eastern Kentucky University,,,,,,,,,,,,,,,,,,no career
1950,43.0,43.0,NYK,Joe Ossola,Saint Louis,,,,,,,,,,,,,,,,,,no career
1950,44.0,44.0,FTW,Lenny Rzeszewski,Indiana State University,,,,,,,,,,,,,,,,,,no career
1950,45.0,45.0,INO,Jim Line,Kentucky,,,,,,,,,,,,,,,,,,no career
1950,46.0,46.0,ROC,Chet Giermak,William & Mary,,,,,,,,,,,,,,,,,,no career
1950,48.0,48.0,SYR,Paul Merchant,Oklahoma,,,,,,,,,,,,,,,,,,no career
1950,49.0,49.0,BOS,Jack Shelton,Oklahoma State,,,,,,,,,,,,,,,,,,no career
1950,54.0,54.0,CHS,Don Stroot,Missouri,,,,,,,,,,,,,,,,,,no career
1950,55.0,55.0,NYK,Dick Barnes,San Diego State,,,,,,,,,,,,,,,,,,no career
1950,56.0,56.0,FTW,Leroy Thompson,Kent State University,,,,,,,,,,,,,,,,,,no career
1950,57.0,57.0,INO,Sonny Allen,Morehead State University,,,,,,,,,,,,,,,,,,no career
1950,58.0,58.0,ROC,Joe Nelson,BYU,,,,,,,,,,,,,,,,,,no career
1950,60.0,60.0,SYR,Paul Hickey,Denver,,,,,,,,,,,,,,,,,,no career
1950,62.0,62.0,BLB,Rick Harman,Kansas State,,,,,,,,,,,,,,,,,,no career
1950,63.0,63.0,PHW,Dick Dallmer,Cincinnati,,,,,,,,,,,,,,,,,,no career
1950,64.0,64.0,TRI,Bob Anderson,Loyola (MD),,,,,,,,,,,,,,,,,,no career
1950,65.0,65.0,WSC,Warren Cartier,NC State,,,,,,,,,,,,,,,,,,no career
1950,66.0,66.0,CHS,Stu Inman,San Jose State,,,,,,,,,,,,,,,,,,no career
