category,start_year,end_year,divergence,n_matched_ages
PTS_per36,1985,1994,0.08604245677918773,14
PTS_per36,1987,1996,0.08761281229312402,15
PTS_per36,1989,1998,0.10659308477120762,15
PTS_per36,1991,2000,0.08027419552507023,16
PTS_per36,1993,2002,0.1344116477845816,18
PTS_per36,1995,2004,0.21614295532682756,19
TRB_per36,1985,1994,0.05889587795138004,14
TRB_per36,1987,1996,0.03692193465443223,15
TRB_per36,1989,1998,0.03690196505601078,15
TRB_per36,1991,2000,0.05866081824858063,16
TRB_per36,1993,2002,0.11810198325749062,18
TRB_per36,1995,2004,0.08815374397825781,19
AST_per36,1985,1994,0.018548465335734655,14
AST_per36,1987,1996,0.020490353105852923,15
AST_per36,1989,1998,0.021383669036693007,15
AST_per36,1991,2000,0.05622508732339194,16
AST_per36,1993,2002,0.04206514855776921,18
AST_per36,1995,2004,0.04759262380767684,19
STL_per36,1985,1994,0.1318591828069809,14
STL_per36,1987,1996,0.16109739110223842,15
STL_per36,1989,1998,0.23042758539008643,15
STL_per36,1991,2000,0.20678717825486853,16
STL_per36,1993,2002,0.4854130799160868,18
STL_per36,1995,2004,0.7300746908292945,19
BLK_per36,1985,1994,0.07232101859395106,14
BLK_per36,1987,1996,0.07939808004173302,15
BLK_per36,1989,1998,0.07190859532914293,15
BLK_per36,1991,2000,0.06297376654308544,16
BLK_per36,1993,2002,0.0778710425410312,18
BLK_per36,1995,2004,0.0774847738919952,19
TOV_per36,1985,1994,0.1202124902974368,14
TOV_per36,1987,1996,0.13295583191271126,15
TOV_per36,1989,1998,0.14057213025854837,15
TOV_per36,1991,2000,0.24401860867889685,16
TOV_per36,1993,2002,0.5574431852158478,18
TOV_per36,1995,2004,0.4241323443305037,19
PF_per36,1985,1994,0.15904057681866401,14
PF_per36,1987,1996,0.43008498209613505,15
PF_per36,1989,1998,0.3707844016280094,15
PF_per36,1991,2000,0.4260573832046825,16
PF_per36,1993,2002,0.3908970069677484,18
PF_per36,1995,2004,0.33414673449422183,19
TS_pct,1985,1994,0.4983640216725106,14
TS_pct,1987,1996,1.120450170351696,15
TS_pct,1989,1998,0.898829378769191,15
TS_pct,1991,2000,0.6016224140809479,16
TS_pct,1993,2002,2.2272400502344873,18
TS_pct,1995,2004,2.576151234568088,19
