category,start_year,divergence,n_matched_ages
PTS_per36,1985,0.19760806237761278,20
PTS_per36,1987,0.18587006828845262,20
PTS_per36,1989,0.19960130373293286,20
PTS_per36,1991,0.20745879495096078,20
PTS_per36,1993,0.20684240635976942,19
PTS_per36,1995,0.21614295532682756,19
PTS_per36,1997,0.2042877753376682,19
PTS_per36,1999,0.13141576026302282,18
PTS_per36,2001,0.15082031224029357,16
PTS_per36,2003,0.19843933755783702,8
TRB_per36,1985,0.09011397268034786,20
TRB_per36,1987,0.07620731518964567,20
TRB_per36,1989,0.07926736507979712,20
TRB_per36,1991,0.08802915180655128,20
TRB_per36,1993,0.08650205905149233,19
TRB_per36,1995,0.08815374397825781,19
TRB_per36,1997,0.08424873121029328,19
TRB_per36,1999,0.09741144990647523,18
TRB_per36,2001,0.10411660969465827,16
TRB_per36,2003,0.14485340891788992,8
AST_per36,1985,0.12943715970608585,20
AST_per36,1987,0.12321242987274403,20
AST_per36,1989,0.12212909896186573,20
AST_per36,1991,0.12422732056192153,20
AST_per36,1993,0.040935755589063136,19
AST_per36,1995,0.04759262380767684,19
AST_per36,1997,0.06230660652882972,19
AST_per36,1999,0.052721767294410915,18
AST_per36,2001,0.0784714254398844,16
AST_per36,2003,0.058641020672512326,8
STL_per36,1985,0.6107484815616813,20
STL_per36,1987,0.6559346218071115,20
STL_per36,1989,0.6886537428311825,20
STL_per36,1991,0.6962255117648343,20
STL_per36,1993,0.5989872756341391,19
STL_per36,1995,0.7300746908292945,19
STL_per36,1997,0.8628428681404212,19
STL_per36,1999,0.676143998884037,18
STL_per36,2001,0.8822625967009018,16
STL_per36,2003,0.26581534072404794,8
BLK_per36,1985,0.06150789058847725,20
BLK_per36,1987,0.06246444473377289,20
BLK_per36,1989,0.0688425334533614,20
BLK_per36,1991,0.07933686237946988,20
BLK_per36,1993,0.08112611382043539,19
BLK_per36,1995,0.0774847738919952,19
BLK_per36,1997,0.13531547037931552,19
BLK_per36,1999,0.1574012703040803,18
BLK_per36,2001,0.20380157622371534,16
BLK_per36,2003,0.22763775616144577,8
TOV_per36,1985,0.427103081213046,20
TOV_per36,1987,0.46519160055162584,20
TOV_per36,1989,0.49963837752150747,20
TOV_per36,1991,0.5361670057173593,20
TOV_per36,1993,0.445168859188695,19
TOV_per36,1995,0.4241323443305037,19
TOV_per36,1997,0.38612569149750803,19
TOV_per36,1999,0.6097267389108848,18
TOV_per36,2001,0.368352432983945,16
TOV_per36,2003,0.7993847072420106,8
PF_per36,1985,0.35572112659221905,20
PF_per36,1987,0.3485583921706449,20
PF_per36,1989,0.39145180793144774,20
PF_per36,1991,0.41300040322346854,20
PF_per36,1993,0.41695040220292706,19
PF_per36,1995,0.33414673449422183,19
PF_per36,1997,0.2388682631630042,19
PF_per36,1999,0.14786521853736467,18
PF_per36,2001,0.3193066804847447,16
PF_per36,2003,0.5135529600707877,8
TS_pct,1985,2.4134611834293853,20
TS_pct,1987,2.381384887012971,20
TS_pct,1989,2.544686744933213,20
TS_pct,1991,2.669769321196144,20
TS_pct,1993,2.801455411350052,19
TS_pct,1995,2.576151234568088,19
TS_pct,1997,2.90199498031668,19
TS_pct,1999,1.1559384953593237,18
TS_pct,2001,1.0996884856364721,16
TS_pct,2003,1.3667469909075907,8
