personId,PlayerName,total_minutes_2018_2024
1628369,Jayson Tatum,17561
203468,CJ McCollum,16408
1628378,Donovan Mitchell,16012
1628969,Mikal Bridges,15479
1628368,De'Aaron Fox,15420
1628398,Kyle Kuzma,14919
1628389,Bam Adebayo,14680
1629029,Luka Doncic,13943
1629027,Trae Young,13883
1626220,Royce O'Neale,13880
1628386,Jarrett Allen,13724
1628404,Josh Hart,13232
203992,Bogdan Bogdanovic,12952
1628983,Shai Gilgeous-Alexander,12692
1628381,John Collins,12518
1628374,Lauri Markkanen,12481
1628415,Dillon Brooks,12115
1628973,Jalen Brunson,11940
1628989,Kevin Huerter,11888
1628401,Derrick White,11506
1627752,Taurean Prince,11256
1629028,Deandre Ayton,11065
1628970,Miles Bridges,11042
1629628,RJ Barrett,10946
1626224,Cedi Osman,10816
1627732,Ben Simmons,10790
1628971,Bruce Brown,10453
1628384,O.G. Anunoby,10447
1629012,Collin Sexton,10399
1630162,Anthony Edwards,10392
1629636,Darius Garland,10391
1629632,Coby White,10116
1629023,P.J. Washington,10081
1628370,Malik Monk,9889
1629673,Jordan Poole,9349
1628379,Luke Kennard,9287
1628420,Monte Morris,9239
1629130,Duncan Robinson,9227
1628467,Maxi Kleber,9190
1629639,Tyler Herro,9037
1628978,Donte DiVincenzo,9007
1630180,Saddiq Bey,8804
1629640,Keldon Johnson,8762
1628976,Wendell Carter Jr.,8688
1628960,Grayson Allen,8685
1628470,Torrey Craig,8600
1629652,Luguentz Dort,8547
1630169,Tyrese Haliburton,8546
1628984,Devonte' Graham,8359
1629630,Ja Morant,8282
1627936,Alex Caruso,8247
1629684,Grant Williams,8231
1630178,Tyrese Maxey,8228
1628366,Lonzo Ball,8187
1629014,Anfernee Simons,8127
1629631,De'Andre Hunter,8080
1629001,De'Anthony Melton,8026
1630183,Jaden McDaniels,7835
1629011,Mitchell Robinson,7830
1630171,Isaac Okoro,7694
1629611,Terance Mann,7687
1629013,Landry Shamet,7627
1628372,Dennis Smith Jr.,7602
1630166,Deni Avdija,7518
1629060,Rui Hachimura,7476
1629008,Michael Porter Jr.,7443
1630567,Scottie Barnes,7389
1630193,Immanuel Quickley,7375
1630532,Franz Wagner,7375
1630224,Jalen Green,7341
1629006,Josh Okogie,7327
1629661,Cameron Johnson,7222
1628464,Daniel Theis,7111
1630217,Desmond Bane,7070
1629680,Matisse Thybulle,6959
200755,JJ Redick,6799
1628972,Troy Brown Jr.,6776
1628367,Josh Jackson,6718
1630175,Cole Anthony,6701
1629026,Kenrich Williams,6645
202683,Enes Freedom,6621
1629622,Max Strus,6611
1630529,Herbert Jones,6607
1630596,Evan Mobley,6579
1628988,Aaron Holiday,6575
1629022,Lonnie Walker IV,6549
1630245,Ayo Dosunmu,6420
1630170,Devin Vassell,6419
1628449,Chris Boucher,6354
1628997,Caleb Martin,6342
1629675,Naz Reid,6272
1629655,Daniel Gafford,6263
1628963,Marvin Bagley III,6203
1628380,Zach Collins,6160
1629651,Nic Claxton,6142
1630191,Isaiah Stewart,6107
1630581,Josh Giddey,6079
1627814,Damion Lee,6044
1630557,Corey Kispert,5962
1628975,Jevon Carter,5959
1628365,Markelle Fultz,5939
1630172,Patrick Williams,5903
1630559,Austin Reaves,5890
1630163,LaMelo Ball,5870
1629638,Nickeil Alexander-Walker,5868
1629003,Shake Milton,5863
1629627,Zion Williamson,5857
1630256,Jae'Sean Tate,5808
1628392,Isaiah Hartenstein,5787
1630578,Alperen Sengun,5706
1628964,Mo Bamba,5702
1629020,Jarred Vanderbilt,5597
1630200,Tre Jones,5539
1629647,Darius Bazley,5536
1628995,Kevin Knox II,5523
1629021,Moritz Wagner,5487
1630165,Killian Hayes,5479
1628373,Frank Ntilikina,5453
1627788,Furkan Korkmaz,5447
1629629,Cam Reddish,5287
1631094,Paolo Banchero,5228
1630173,Precious Achiuwa,5226
1629659,Talen Horton-Tucker,5218
1629634,Brandon Clarke,5185
1629234,Drew Eubanks,5138
1630174,Aaron Nesmith,5054
1630530,Trey Murphy III,5002
1631099,Keegan Murray,4970
1628418,Thomas Bryant,4948
1629637,Jaxson Hayes,4928
1628977,Hamidou Diallo,4917
1628382,Justin Jackson,4886
1630168,Onyeka Okongwu,4847
203920,Khem Birch,4826
1630202,Payton Pritchard,4737
1629723,John Konchar,4715
1630167,Obi Toppin,4694
1629726,Garrison Mathews,4656
1629004,Svi Mykhailiuk,4627
1630558,Davion Mitchell,4624
1630591,Jalen Suggs,4577
1629134,Kendrick Nunn,4576
1628966,Keita Bates-Diop,4566
1630595,Cade Cunningham,4562
1628371,Jonathan Isaac,4550
1629667,Jalen McDaniels,4543
1630228,Jonathan Kuminga,4529
1630182,Josh Green,4528
1631093,Jaden Ivey,4522
1628998,Cody Martin,4504
1631114,Jalen Williams,4499
1630230,Naji Marshall,4485
1628425,Sterling Brown,4459
1627823,Juancho Hernangomez,4427
1629057,Robert Williams III,4403
1629216,Gabe Vincent,4303
1629731,Dean Wade,4263
1628422,Damyean Dotson,4242
1629599,Amir Coffey,4207
1630560,Cam Thomas,4198
1628400,Semi Ojeleye,4111
1628407,Dwayne Bacon,4012
1628390,Terrance Ferguson,4001
1630214,Xavier Tillman,3940
1627853,Ryan Arcidiacono,3940
1629656,Quentin Grimes,3932
1629052,Oshae Brissett,3932
1628436,Luke Kornet,3907
1628402,Frank Jackson,3873
1630198,Isaiah Joe,3833
1629643,Chuma Okeke,3831
1628411,Wes Iwundu,3828
1629614,Andrew Nembhard,3770
1631097,Bennedict Mathurin,3761
1630177,Theo Maledon,3753
1629642,Nassir Little,3736
1629162,Jordan McLaughlin,3735
1630598,Aaron Wiggins,3734
1629056,Terence Davis,3661
1630583,Santi Aldama,3660
1631110,Jeremy Sochan,3651
1629002,Chimezie Metu,3565
1630544,Tre Mann,3538
1631105,Jalen Duren,3448
1630197,Aleksej Pokusevski,3429
1630208,Nick Richards,3406
1630188,Jalen Smith,3405
1629670,Jordan Nwora,3358
1629669,Jaylen Nowell,3351
1631117,Walker Kessler,3196
1630205,Lamar Stevens,3193
1630573,Sam Hauser,3188
1629048,Goga Bitadze,3175
1630631,Jose Alvarado,3172
1629750,Javonte Green,3171
1630537,Chris Duarte,3158
1631103,Malaki Branham,3144
1629308,Juan Toscano-Anderson,3127
1630181,R.J. Hampton,3116
1629672,Eric Paschall,3085
202954,Brad Wanamaker,3085
1630552,Jalen Johnson,3051
1630201,Malachi Flynn,3032
1630533,Ziaire Williams,2945
1630538,Bones Hyland,2936
1630570,Trendon Watford,2908
1629676,Isaiah Roby,2859
1630534,Ochai Agbaji,2851
1629139,Yuta Watanabe,2840
1631101,Shaedon Sharpe,2838
1631128,Christian Braun,2837
1630194,Paul Reed,2824
1630164,James Wiseman,2794
1627885,Shaquille Harrison,2780
1629660,Ty Jerome,2747
1630267,Facundo Campazzo,2661
1627846,Abdel Nader,2583
1630541,Moses Moody,2580
2747,JR Smith,2545
1629312,Haywood Highsmith,2538
1629633,Jarrett Culver,2480
1630540,Miles McBride,2460
1631223,David Roddy,2436
1631096,Chet Holmgren,2413
1631323,Simone Fontecchio,2410
1630700,Dyson Daniels,2401
1630192,Zeke Nnaji,2399
1641706,Brandon Miller,2383
101139,CJ Miles,2356
1630543,Isaiah Jackson,2354
1629111,Jock Landale,2331
1631133,Jabari Walker,2320
1629626,Bol Bol,2302
1629641,Romeo Langford,2268
1628410,Edmond Sumner,2256
1631106,Tari Eason,2247
1629109,Gary Clark,2239
1630526,Jeremiah Robinson-Earl,2235
1628981,Bruno Fernando,2179
1630692,Jordan Goodwin,2167
1630528,Josh Christopher,2120
1628035,Alfonzo McKinnie,2115
1631170,Jaime Jaquez Jr.,2113
1641705,Victor Wembanyama,2106
1629066,Rodions Kurucs,2102
1630587,Isaiah Livers,2051
1641718,Keyonte George,2023
1630625,Dalano Banton,2021
1630550,JT Thor,2011
1628396,Tony Bradley,1995
1628408,PJ Dozier,1974
1641764,Brandin Podziemski,1968
1630579,Jericho Sims,1952
1630240,Saben Lee,1943
1629117,Wenyen Gabriel,1939
1628395,Jordan Bell,1938
1628385,Harry Giles III,1935
1629067,Isaac Bonga,1870
1630549,Day'Ron Sharpe,1864
1628391,D.J. Wilson,1818
1631119,Jaylin Williams,1811
1629650,Moses Brown,1792
1628990,Chandler Hutchison,1790
1630577,Julian Champagnie,1788
1630264,Anthony Gill,1773
1630703,Scoot Henderson,1765
1630235,Trent Forrest,1758
1629019,Allonzo Trier,1749
1630184,Kira Lewis Jr.,1745
1641739,Toumani Camara,1739
1628414,Sindarius Thornwell,1722
1641731,Bilal Coulibaly,1715
1627820,Tyrone Wallace,1714
1628384,OG Anunoby,1702
1630702,Jaden Hardy,1698
1641717,Cason Wallace,1692
1629016,Omari Spellman,1691
1629010,Jerome Robinson,1686
1628416,Tyler Dorsey,1680
1629059,Elie Okobo,1677
1631212,Peyton Watson,1674
1631121,Bryce McGowens,1669
201601,Luc Mbah a Moute,1650
1630556,Kessler Edwards,1648
1629635,Sekou Doumbouya,1639
1631216,Caleb Houstan,1628
1630237,Anthony Lamb,1618
1628412,Frank Mason III,1617
1629164,Brandon Goodwin,1609
1629740,Nicolo Melli,1608
1641709,Ausar Thompson,1583
1631100,AJ Griffin,1572
1631104,Blake Wesley,1545
1631246,Vince Williams Jr.,1541
1630572,Sandro Mamukelashvili,1518
1627790,Ante Zizic,1517
1629717,Armoni Brooks,1468
1631108,Max Christie,1457
1630241,Sam Merrill,1418
1630249,Vit Krejci,1397
1628427,Vlatko Cancar,1392
1641708,Amen Thompson,1389
1629678,Admiral Schofield,1373
1629604,CJ Elleby,1367
1630527,Brandon Boston Jr.,1354
1631204,Marcus Sasser,1351
1631200,Kris Murray,1348
1631109,Mark Williams,1336
1630688,Ish Wainright,1336
1630209,Omer Yurtseven,1335
1630699,MarJon Beauchamp,1309
1628432,Davon Reed,1300
1641726,Dereck Lively II,1294
1628462,Milos Teodosic,1284
1630322,Lindy Waters III,1276
1641711,Gradey Dick,1268
1629103,Kelan Martin,1267
1628388,T.J. Leaf,1238
1628397,Ivan Rabb,1236
1641713,GG Jackson,1233
1630586,Usman Garuba,1227
1629744,Matt Thomas,1226
1630227,Daishen Nix,1226
1631222,Jake LaRavia,1220
1641871,Duop Reath,1214
1628539,Mychal Mulder,1209
203995,Vasilije Micic,1176
1630553,Keon Johnson,1174
1630678,Terry Taylor,1165
1641710,Anthony Black,1164
1641722,Jordan Hawkins,1161
1628469,Antonio Blakeney,1143
