player_id,display_name,age,team,year
brighal47,Al Brightman,23,Boston Celtics,1947
lujacal47,Al Lujack,26,Washington Capitols,1947
negraal47,Al Negratti,25,Washington Capitols,1947
musian47,Angelo Musi,28,Philadelphia Warriors,1947
musian47,Angelo Musi,29,Philadelphia Warriors,1948
musian47,Angelo Musi,30,Philadelphia Warriors,1949
maughar47,Ariel Maughan,23,Detroit Falcons,1947
maughar47,Ariel Maughan,24,St. Louis Bombers,1948
maughar47,Ariel Maughan,24,Providence Steamrollers,1948
maughar47,Ariel Maughan,25,St. Louis Bombers,1949
maughar47,Ariel Maughan,26,St. Louis Bombers,1950
maughar47,Ariel Maughan,27,Washington Capitols,1951
curear47,Armand Cure,27,Providence Steamrollers,1947
hillhar47,Art Hillhouse,30,Philadelphia Warriors,1947
hillhar47,Art Hillhouse,31,Philadelphia Warriors,1948
spectar47,Art Spector,26,Boston Celtics,1947
spectar47,Art Spector,27,Boston Celtics,1948
spectar47,Art Spector,28,Boston Celtics,1949
spectar47,Art Spector,29,Boston Celtics,1950
stolkar47,Art Stolkey,26,Detroit Falcons,1947
davisau47,Aubrey Davis,25,St. Louis Bombers,1947
brindau47,Aud Brindley,23,New York Knicks,1947
smawlbe47,Belus Smawley,28,St. Louis Bombers,1947
smawlbe47,Belus Smawley,29,St. Louis Bombers,1948
smawlbe47,Belus Smawley,30,St. Louis Bombers,1949
smawlbe47,Belus Smawley,31,St. Louis Bombers,1950
smawlbe47,Belus Smawley,32,Baltimore Bullets (O),1951
smawlbe47,Belus Smawley,32,Syracuse Nationals,1951
smawlbe47,Belus Smawley,33,Baltimore Bullets (O),1952
goldfbe47,Ben Goldfaden,33,Washington Capitols,1947
scharbe47,Ben Scharnus,29,Cleveland Rebels,1947
scharbe47,Ben Scharnus,31,Providence Steamrollers,1949
davisbi47,Bill Davis,26,Chicago Stags,1947
cluggbo47,Bob Cluggish,29,New York Knicks,1947
dillebo47,Bob Dille,29,Detroit Falcons,1947
