personId,PlayerName,season_year,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SeasonStart,Age
1713,Vince Carter,2017-18,58,1025.9666666666667,114,283,57,165,28,37,18,130,148,69,42,26,36,96,313,2018,41
1713,Vince Carter,2018-19,76,1330.3833333333334,196,468,123,316,47,66,31,163,194,87,44,27,48,141,562,2019,42
1713,Vince Carter,2019-20,60,875.5666666666666,107,304,61,202,23,29,18,106,124,48,23,25,33,90,298,2020,43
1717,Dirk Nowitzki,2017-18,77,1900.35,346,758,138,337,97,108,22,416,438,120,43,45,51,146,927,2018,39
1717,Dirk Nowitzki,2018-19,51,795.1333333333333,135,376,64,205,39,50,5,153,158,35,9,18,18,76,373,2019,40
1891,Jason Terry,2017-18,51,813.6833333333333,59,154,40,115,8,9,5,43,48,59,42,13,25,52,166,2018,40
1938,Manu Ginobili,2017-18,65,1298.9166666666667,201,463,64,192,110,131,19,123,142,163,43,16,105,126,576,2018,40
2037,Jamal Crawford,2017-18,80,1653.2666666666667,308,742,104,314,102,113,21,78,99,185,40,9,95,85,822,2018,37
2037,Jamal Crawford,2018-19,64,1210.9166666666667,174,438,67,202,93,110,8,77,85,229,33,12,99,75,508,2019,38
2037,Jamal Crawford,2019-20,1,5.966666666666667,2,4,1,2,0,0,0,0,0,3,0,0,0,1,5,2020,39
2199,Tyson Chandler,2017-18,46,1150.7166666666667,121,187,0,0,58,93,134,284,418,53,16,27,59,106,300,2018,35
2199,Tyson Chandler,2018-19,55,874.8,61,99,0,1,51,87,92,215,307,37,21,23,42,110,173,2019,36
2199,Tyson Chandler,2019-20,26,219.21666666666667,14,18,0,0,6,13,25,41,66,6,6,8,8,32,34,2020,37
2200,Pau Gasol,2017-18,77,1811.9166666666667,287,627,43,120,158,209,129,490,619,238,24,79,108,121,775,2018,37
2200,Pau Gasol,2018-19,30,360.55,42,94,6,13,28,40,22,115,137,52,5,15,16,29,118,2019,38
2207,Joe Johnson,2017-18,55,1204.7666666666667,146,360,40,145,40,45,14,158,172,83,18,7,49,67,372,2018,36
2207,Joe Johnson,2021-22,1,1.95,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2022,40
2210,Richard Jefferson,2017-18,20,163.38333333333333,12,27,2,7,4,7,2,15,17,15,2,1,5,11,30,2018,37
2216,Zach Randolph,2017-18,59,1507.6666666666667,361,763,51,147,84,107,97,300,397,127,42,10,116,119,857,2018,36
2225,Tony Parker,2017-18,55,1070.8833333333334,178,388,10,37,55,78,7,88,95,195,28,1,68,52,421,2018,35
2225,Tony Parker,2018-19,56,1002.8166666666666,213,463,13,51,91,124,14,69,83,207,21,7,75,53,530,2019,36
2403,Nene Hilario,2017-18,52,758.4,136,239,0,2,68,107,54,122,176,45,28,14,38,123,340,2018,35
2403,Nene Hilario,2018-19,42,545.8166666666667,60,116,0,3,31,47,34,89,123,26,18,15,11,87,151,2019,36
2544,LeBron James,2017-18,82,3025.6666666666665,857,1580,149,406,388,531,97,612,709,747,116,71,347,136,2251,2018,33
2544,LeBron James,2018-19,55,1937.4333333333334,558,1095,111,327,278,418,57,408,465,454,72,33,197,94,1505,2019,34
2544,LeBron James,2019-20,67,2316.3,643,1303,148,425,264,381,66,459,525,684,78,36,261,118,1698,2020,35
2544,LeBron James,2020-21,45,1503.7166666666667,422,823,104,285,178,255,29,317,346,350,48,25,168,70,1126,2021,36
2544,LeBron James,2021-22,56,2084.366666666667,640,1221,161,448,254,336,63,396,459,349,73,59,196,121,1695,2022,37
2544,LeBron James,2022-23,55,1953.9333333333334,609,1219,121,377,251,327,65,392,457,375,50,32,178,88,1590,2023,38
2544,LeBron James,2023-24,71,2503.75,685,1269,149,363,303,404,61,457,518,589,89,38,245,78,1822,2024,39
