--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,5,LAL,Walt Hazzard,UCLA,10,724,19202,9087,2146,3555,.441,,.757,26.5,12.6,3.0,4.9,30.3,.076,-1.9,0.0
2,8,CIN,George Wilson,Cincinnati,7,410,5768,2216,2144,307,.372,,.677,14.1,5.4,5.2,0.7,0.5,.004,,
3,1,NYK,Jim Barnes,Texas-El Paso,7,454,9455,3997,2939,377,.429,,.684,20.8,8.8,6.5,0.8,14.2,.072,,
4,2,DET,Joe Caldwell,Arizona State,6,468,13874,7127,2367,1257,.459,,.634,29.6,15.2,5.1,2.7,23.9,.083,,
5,3,BAL,Gary Bradds,Ohio State,2,44,350,144,92,20,.410,,.716,8.0,3.3,2.1,0.5,0.5,.067,,
6,4,PHI,Luke Jackson,University of Texas Rio Grande Valley,8,522,13783,5170,4613,818,.415,,.722,26.4,9.9,8.8,1.6,22.3,.078,,
7,6,STL,Jeff Mullins,Duke,12,804,24574,13017,3427,3023,.463,,.814,30.6,16.2,4.3,3.8,62.8,.123,-0.4,1.6
8,7,SFW,Barry Kramer,NYU,1,52,507,186,100,41,.339,,.714,9.8,3.6,1.9,0.8,0.2,.017,,
9,9,BOS,Mel Counts,Oregon State,12,789,13723,6516,4756,1100,.435,,.764,17.4,8.3,6.0,1.4,27.7,.097,-0.6,0.8
10,10,NYK,Willis Reed,Grambling State University,10,650,23073,12183,8414,1186,.476,,.747,35.5,18.7,12.9,1.8,74.9,.156,1.3,0.4
11,11,DET,Les Hunter,Loyola Chicago,1,24,114,42,50,11,.281,,.429,4.8,1.8,2.1,0.5,-0.5,-.210,,
12,12,STL,Paul Silas,Creighton,16,1254,34989,11782,12357,2572,.432,,.673,27.9,9.4,9.9,2.1,79.9,.110,-0.6,5.6
13,13,PHI,Ira Harge,New Mexico,,,,,,,,,,,,,,,,,
14,14,LAL,Cotton Nash,Kentucky,1,45,357,137,83,19,.324,,.827,7.9,3.0,1.8,0.4,0.0,-.001,,
15,15,NYK,Howard Komives,Bowling Green,10,742,20213,7550,1804,2941,.388,,.830,27.2,10.2,2.4,4.0,5.0,.012,-4.0,-0.4
16,16,SFW,Bud Koper,Oklahoma City University,1,54,631,247,61,43,.440,,.833,11.7,4.6,1.1,0.8,1.0,.078,,
17,17,CIN,Bill Chmielewski,Dayton,,,,,,,,,,,,,,,,,
18,18,BOS,Ron Bonham,Cincinnati,2,76,681,478,113,30,.391,,.832,9.0,6.3,1.5,0.4,2.0,.138,,
19,19,NYK,Brian Generalovich,Pitt,,,,,,,,,,,,,,,,,
20,20,DET,Wali Jones,Villanova,10,607,14420,6140,1394,1947,.409,,.800,23.8,10.1,2.3,3.2,14.9,.049,-3.8,-0.1
21,21,BAL,Jerry Sloan,University of Evansville,11,755,25750,10571,5615,1925,.427,,.722,34.1,14.0,7.4,2.5,49.5,.092,0.7,4.1
22,22,PHI,Larry Jones,Toledo,2,95,2235,854,241,270,.400,,.815,23.5,9.0,2.5,2.8,2.5,.055,-0.2,0.9
23,23,LAL,Tom Dose,Stanford,,,,,,,,,,,,,,,,,
24,24,STL,Art Becker,Arizona State,,,,,,,,,,,,,,,,,
25,25,SFW,McCoy McLemore,Drake University,8,580,12221,5130,3161,733,.394,,.771,21.1,8.8,5.5,1.3,9.5,.037,,
26,26,CIN,Steve Courtin,Saint Joseph's,1,24,317,101,22,22,.408,,.810,13.2,4.2,0.9,0.9,0.2,.036,,
27,27,BOS,John Thompson,Providence,2,74,771,262,260,19,.410,,.595,10.4,3.5,3.5,0.3,2.1,.128,,
28,28,NYK,Freddie Crawford,St. Bonaventure,5,297,5047,2031,746,610,.446,,.595,17.0,6.8,2.5,2.1,6.1,.058,,
29,29,DET,Jim Davis,Colorado,8,597,10027,3997,3109,739,.461,,.674,16.8,6.7,5.2,1.2,19.2,.092,0.1,1.1
