,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,WAS,AJ Dybantsa,BYU,,,,,,,,,,,,,,,,,
2,2,UTA,Darryn Peterson,Kansas,,,,,,,,,,,,,,,,,
3,3,MEM,Cameron Boozer,Duke,,,,,,,,,,,,,,,,,
4,4,CHI,Caleb Wilson,UNC,,,,,,,,,,,,,,,,,
5,5,LAC,Keaton Wagler,Illinois,,,,,,,,,,,,,,,,,
6,6,BRK,Mikel Brown Jr.,Louisville,,,,,,,,,,,,,,,,,
7,7,SAC,Darius Acuff Jr.,Arkansas,,,,,,,,,,,,,,,,,
8,8,ATL,Kingston Flemings,Houston,,,,,,,,,,,,,,,,,
9,9,DAL,Morez Johnson Jr.,Michigan,,,,,,,,,,,,,,,,,
10,10,MIL,Brayden Burries,Arizona,,,,,,,,,,,,,,,,,
11,11,GSW,Yaxel Lendeborg,Michigan,,,,,,,,,,,,,,,,,
12,12,OKC,Aday Mara,Michigan,,,,,,,,,,,,,,,,,
13,13,MIA,Nate Ament,Tennessee,,,,,,,,,,,,,,,,,
14,14,CHA,Hannes Steinbach,Washington,,,,,,,,,,,,,,,,,
15,15,CHI,Dailyn Swain,Texas,,,,,,,,,,,,,,,,,
16,16,MEM,Bennett Stirtz,Iowa,,,,,,,,,,,,,,,,,
17,17,OKC,Ebuka Okorie,Stanford,,,,,,,,,,,,,,,,,
18,18,CHA,Christian Anderson Jr.,Texas Tech,,,,,,,,,,,,,,,,,
19,19,TOR,Allen Graves,Santa Clara,,,,,,,,,,,,,,,,,
20,20,SAS,Jayden Quaintance,Kentucky,,,,,,,,,,,,,,,,,
21,21,DET,Karim López,,,,,,,,,,,,,,,,,,
22,22,PHI,Labaron Philon Jr.,Alabama,,,,,,,,,,,,,,,,,
23,23,ATL,Zuby Ejiofor,St. John's,,,,,,,,,,,,,,,,,
24,24,NYK,Cameron Carr,Baylor,,,,,,,,,,,,,,,,,
25,25,LAL,Sergio de Larrea,,,,,,,,,,,,,,,,,,
26,26,DEN,Tarris Reed Jr.,UConn,,,,,,,,,,,,,,,,,
27,27,BOS,Chris Cenac Jr.,Houston,,,,,,,,,,,,,,,,,
28,28,MIN,Joshua Jefferson,Iowa State,,,,,,,,,,,,,,,,,
29,29,CLE,Alex Karaban,UConn,,,,,,,,,,,,,,,,,
30,30,DAL,Koa Peat,Arizona,,,,,,,,,,,,,,,,,
31,31,NYK,Bruce Thornton,Ohio State,,,,,,,,,,,,,,,,,
32,32,MEM,Richie Saunders,BYU,,,,,,,,,,,,,,,,,
33,33,BRK,Isaiah Evans,Duke,,,,,,,,,,,,,,,,,
34,34,SAC,Meleek Thomas,Arkansas,,,,,,,,,,,,,,,,,
35,35,SAS,Trevon Brazile,Arkansas,,,,,,,,,,,,,,,,,
36,36,LAC,Baba Miller,Cincinnati,,,,,,,,,,,,,,,,,
37,37,OKC,Ryan Conwell,Louisville,,,,,,,,,,,,,,,,,
38,38,CHI,Braden Smith,Purdue,,,,,,,,,,,,,,,,,
39,39,HOU,Jack Kayil,,,,,,,,,,,,,,,,,,
40,40,BOS,Dillon Mitchell,St. John's,,,,,,,,,,,,,,,,,
41,41,MIA,Otega Oweh,Kentucky,,,,,,,,,,,,,,,,,
42,42,SAS,Ja'Kobi Gillespie,Tennessee,,,,,,,,,,,,,,,,,
43,43,BRK,Tyler Bilodeau,UCLA,,,,,,,,,,,,,,,,,
44,44,SAS,Maliq Brown,Duke,,,,,,,,,,,,,,,,,
45,45,SAC,Emanuel Sharp,Houston,,,,,,,,,,,,,,,,,
46,46,ORL,Felix Okpara,Tennessee,,,,,,,,,,,,,,,,,
47,47,PHO,Tyler Nickel,Vanderbilt,,,,,,,,,,,,,,,,,
48,48,DAL,Tobi Lawal,Virginia Tech,,,,,,,,,,,,,,,,,
49,49,DEN,Bryce Hopkins,St. John's,,,,,,,,,,,,,,,,,
50,50,TOR,Jaden Bradley,Arizona,,,,,,,,,,,,,,,,,
51,51,WAS,Izaiyah Nelson,South Florida,,,,,,,,,,,,,,,,,
52,52,LAC,Henri Veesaar,UNC,,,,,,,,,,,,,,,,,
53,53,HOU,Ugonna Onyenso,Virginia,,,,,,,,,,,,,,,,,
54,54,GSW,Lajae Jones,Florida State,,,,,,,,,,,,,,,,,
55,55,NYK,Nick Martinelli,Northwestern,,,,,,,,,,,,,,,,,
56,56,CHI,Vsevolod Ishchenko,,,,,,,,,,,,,,,,,,
57,57,ATL,Narcisse Ngoy,,,,,,,,,,,,,,,,,,
58,58,NOP,Jaron Pierre Jr.,SMU,,,,,,,,,,,,,,,,,
59,59,MIN,Trey Kaufman-Renn,Purdue,,,,,,,,,,,,,,,,,
60,60,WAS,Malique Lewis,,,,,,,,,,,,,,,,,,
